region,year,age65_share
World,2001,6.95816495526447
North America,2014,14.4034772271743
North America,2015,14.7841921195829
North America,2000,12.3564201414585
World,2015,8.22303284759455
East Asia & Pacific,2015,9.50451750193568
European Union,2006,16.9848908199427
European Union,2019,20.4601073079903
High income,2015,16.9843204128179
European Union,2008,17.2788411979949
European Union,2000,15.6990053881923
European Union,2020,20.7800745026898
North America,2004,12.3507558351457
East Asia & Pacific,2006,7.83885620372543
High income,2018,17.9669883421425
High income,2009,15.113518190386
World,2002,7.04548867570961
High income,2016,17.3212683899165
North America,2002,12.3383561163105
High income,2020,18.6458329440182
East Asia & Pacific,2001,7.16220414922556
East Asia & Pacific,2010,8.35131662599204
High income,2017,17.6463353896731
European Union,2010,17.6574968248665
North America,2010,13.0978398137098
North America,2005,12.390986873706
World,2006,7.32753880768602
North America,2019,16.3573699252913
World,2019,9.0985970321182
World,2018,8.87345119086483
East Asia & Pacific,2003,7.45357503879702
High income,2019,18.2955695947527
East Asia & Pacific,2008,8.07702696188258
North America,2017,15.5631680299803
High income,2000,13.7035137686175
European Union,2015,19.2418985675497
East Asia & Pacific,2002,7.30801445542236
High income,2003,14.177628645197
World,2012,7.78096254391142
European Union,2002,16.1761287668307
European Union,2013,18.5501193774651
European Union,2007,17.1380507834789
North America,2009,12.87184175215
European Union,2014,18.9001945079417
East Asia & Pacific,2018,10.7443125696329
East Asia & Pacific,2019,11.1790875892805
High income,2010,15.3501216176738
World,2008,7.43462535317342
East Asia & Pacific,2013,8.94305921178086
World,2009,7.49320174098017
East Asia & Pacific,2011,8.53416099139909
East Asia & Pacific,2009,8.20395972990034
High income,2001,13.8609044517961
European Union,2012,18.2090896454215
High income,2011,15.6142582949064
High income,2008,14.9291062586031
World,2020,9.31780291818723
North America,2013,14.0346087984662
High income,2004,14.3302218576075
East Asia & Pacific,2007,7.9598868597628
High income,2006,14.6336607832068
European Union,2001,15.936130618984
World,2014,8.05481757165972
European Union,2005,16.7951018951896
European Union,2016,19.5634934851629
High income,2012,15.9293691539176
World,2016,8.4268773284504
High income,2014,16.6335486557107
High income,2013,16.2777326214371
North America,2020,16.7833063920433
European Union,2018,20.1630530844779
European Union,2004,16.6178456584715
North America,2001,12.3491557275367
East Asia & Pacific,2017,10.3003551586999
East Asia & Pacific,2020,11.5866648678643
World,2004,7.20232292875921
World,2003,7.13042373817791
East Asia & Pacific,2014,9.19882046012876
High income,2007,14.7786695298966
East Asia & Pacific,2012,8.72730025508351
European Union,2017,19.8682039941629
North America,2011,13.3694794872617
North America,2012,13.6851620144733
World,2017,8.64598939657157
East Asia & Pacific,2016,9.87989368784749
World,2007,7.38334961638555
European Union,2011,17.9054014285833
North America,2018,15.9527307074092
World,2010,7.56714604703909
East Asia & Pacific,2000,7.02156901318865
East Asia & Pacific,2005,7.70441189421761
World,2000,6.87409018137223
North America,2008,12.6973001228373
World,2005,7.25756117030714
High income,2002,14.0191052301607
World,2011,7.66792810413853
European Union,2003,16.408875605809
North America,2007,12.5668357308015
East Asia & Pacific,2004,7.58643812582656
North America,2006,12.468287109819
European Union,2009,17.4430292943475
High income,2005,14.4778222680371
North America,2016,15.1765691046661
North America,2003,12.3352213820808
World,2013,7.90837570782949
