location,region,scenario,year,anomaly_c,temp_c
San Diego,North America,historical,1950,-0.413,17.516
New York,North America,historical,1950,-0.819,11.218
London,Europe,historical,1950,0.08,12.567
Lagos,Africa,historical,1950,-0.385,27.084
Delhi,South Asia,historical,1950,0.263,28.665
Tokyo,East Asia,historical,1950,-0.384,17.176
Sydney,Oceania,historical,1950,-0.535,16.688
Longyearbyen,Arctic,historical,1950,0.537,-9.869
Manaus,South America,historical,1950,-0.478,26.948
San Diego,North America,historical,1951,-0.54,17.388
New York,North America,historical,1951,-0.223,11.814
London,Europe,historical,1951,0.405,12.891
Lagos,Africa,historical,1951,-0.398,27.071
Delhi,South Asia,historical,1951,0.577,28.98
Tokyo,East Asia,historical,1951,-0.64,16.92
Sydney,Oceania,historical,1951,-0.533,16.691
Longyearbyen,Arctic,historical,1951,0.133,-10.273
Manaus,South America,historical,1951,0.022,27.448
San Diego,North America,historical,1952,-1.024,16.904
New York,North America,historical,1952,1.167,13.204
London,Europe,historical,1952,0.759,13.246
Lagos,Africa,historical,1952,0.072,27.541
Delhi,South Asia,historical,1952,0.65,29.053
Tokyo,East Asia,historical,1952,0.409,17.969
Sydney,Oceania,historical,1952,-0.036,17.188
Longyearbyen,Arctic,historical,1952,0.723,-9.682
Manaus,South America,historical,1952,0.294,27.72
San Diego,North America,historical,1953,-0.991,16.937
New York,North America,historical,1953,0.144,12.181
London,Europe,historical,1953,-0.455,12.032
Lagos,Africa,historical,1953,-0.317,27.152
Delhi,South Asia,historical,1953,0.425,28.828
Tokyo,East Asia,historical,1953,-0.16,17.4
Sydney,Oceania,historical,1953,-0.212,17.012
Longyearbyen,Arctic,historical,1953,-2.001,-12.406
Manaus,South America,historical,1953,-0.808,26.618
San Diego,North America,historical,1954,-0.396,17.532
New York,North America,historical,1954,-1.138,10.899
London,Europe,historical,1954,-1.551,10.936
Lagos,Africa,historical,1954,-0.09,27.379
Delhi,South Asia,historical,1954,1.289,29.692
Tokyo,East Asia,historical,1954,-0.679,16.881
Sydney,Oceania,historical,1954,0.182,17.405
Longyearbyen,Arctic,historical,1954,-1.349,-11.754
Manaus,South America,historical,1954,0.082,27.508
San Diego,North America,historical,1955,-0.342,17.586
New York,North America,historical,1955,-0.588,11.449
London,Europe,historical,1955,-0.572,11.915
Lagos,Africa,historical,1955,-0.121,27.348
Delhi,South Asia,historical,1955,0.322,28.725
